2024-05-12T16:31:28,319 WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-12T16:31:29,531 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
2024-05-12T16:31:29,564 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
2024-05-12T16:31:29,574 INFO  com.github.leovd100.message.service.Application - Started Application in 7.069 seconds (process running for 8.305)
2024-05-12T16:31:45,064 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-12T16:31:45,065 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-12T16:31:45,066 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-12T16:31:45,358 INFO  com.github.leovd100.message.service.infraestructureLayer.service.impl.LeadServiceImpl - Dados salvos com sucesso! 61de604e-0219-407b-94e7-70dbd8cbab5d
2024-05-12T16:31:45,380 INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-05-12T16:31:45,387 ERROR com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Error sending request to rabbitMq java.net.ConnectException: Connection refused: no further information
2024-05-12T16:31:45,389 INFO  org.springframework.amqp.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-05-12T16:31:45,412 ERROR com.github.leovd100.message.service.infraestructureLayer.ProducerMessageImpl - Error sending request to rabbitMq java.net.ConnectException: Connection refused: no further information
2024-05-12T16:32:02,617 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-12T16:32:02,811 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-12T16:32:02,830 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-12T16:32:08,897 INFO  com.github.leovd100.message.service.Application - Starting Application using Java 21.0.1 with PID 18288 (C:\marketing Capture\message.service\message.service\target\classes started by Leonardo Vieira in C:\marketing Capture\message.service\message.service)
2024-05-12T16:32:08,914 DEBUG com.github.leovd100.message.service.Application - Running with Spring Boot v3.1.11, Spring v6.0.19
2024-05-12T16:32:08,916 INFO  com.github.leovd100.message.service.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-12T16:32:10,196 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-12T16:32:10,281 INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 76 ms. Found 1 JPA repository interface.
2024-05-12T16:32:11,169 INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2024-05-12T16:32:11,182 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
2024-05-12T16:32:11,186 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-05-12T16:32:11,186 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-12T16:32:11,332 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-12T16:32:11,334 INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2323 ms
2024-05-12T16:32:11,401 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-12T16:32:11,658 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2024-05-12T16:32:11,661 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-12T16:32:11,677 INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
2024-05-12T16:32:11,919 INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-12T16:32:12,037 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.24.Final
2024-05-12T16:32:12,041 INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-05-12T16:32:12,482 INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-12T16:32:12,537 WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-12T16:32:13,377 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-12T16:32:13,410 INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
